x	ch0	ch1	ch2	ch3
1042	425	24906	422	24911
1043	425	24906	422	24911
1044	425	24906	422	24910
1045	425	24906	422	24910
1046	425	24905	422	24910
1047	425	24906	422	24910
1048	424	24905	421	24910
1049	425	24905	422	24911
1050	425	24906	422	24911
1051	425	24905	422	24910
1052	425	24905	422	24910
1053	425	24906	422	24911
1054	425	24907	422	24911
1055	425	24906	421	24911
1056	424	24905	422	24911
1057	425	24906	422	24911
1058	425	24906	422	24911
1059	425	24907	422	24912
1060	425	24907	422	24911
1061	424	24906	422	24911
1062	425	24906	421	24910
1063	425	24906	422	24910
1064	425	24906	422	24911
1065	425	24906	422	24911
1066	424	24906	421	24911
1067	425	24906	422	24911
1068	425	24906	422	24911
1069	425	24906	422	24910
1070	425	24905	422	24910
1071	424	24905	423	24911
1072	425	24906	422	24911
1073	425	24905	422	24911
1074	425	24905	423	24910
1075	425	24905	422	24910
1076	425	24906	421	24911
1077	424	24906	422	24910
1078	425	24906	422	24911
1079	425	24906	422	24911
1080	425	24906	422	24911
1081	425	24905	421	24910
1082	425	24906	422	24911
1083	424	24906	421	24911
1084	425	24906	421	24910
1085	424	24906	422	24911
1086	425	24906	422	24911
1087	425	24905	422	24910
1088	425	24906	422	24911
1089	425	24907	422	24910
1090	425	24906	422	24910
1091	424	24905	422	24910
1092	425	24906	422	24910
1093	425	24906	422	24911
1094	425	24906	422	24911
1095	425	24906	422	24910
1096	425	24906	422	24911
1097	425	24905	422	24910
1098	424	24905	422	24909
1099	424	24905	421	24911
1100	425	24907	422	24912
1101	425	24907	421	24911
1102	424	24906	422	24911
1103	425	24906	422	24911
1104	424	24906	422	24910
1105	425	24905	421	24912
1106	424	24906	422	24911
1107	424	24906	422	24911
1108	425	24907	422	24911
1109	425	24907	422	24911
1110	425	24905	421	24911
1111	425	24906	422	24911
1112	424	24906	422	24911
1113	425	24905	422	24911
1114	425	24906	422	24911
1115	424	24906	422	24911
1116	424	24906	422	24911
1117	425	24907	422	24911
